user_id,product_id,action,category,age,product_name,price,sale
46,92,view,xe-dien,36-55,Lò vi sóng Panasonic,5000000,6
24,75,addcart,xe-dien,3-17,Tivi LG 55 inch,15000000,49
76,84,view,tam-op-tuong,3-17,Tủ lạnh Samsung 300L,10000000,42
80,16,purchased,may-loc-nuoc,18-35,Tivi LG 55 inch,15000000,51
52,8,addcart,may-loc-nuoc,36-55,Lò vi sóng Panasonic,5000000,39
53,84,addcart,thiet-bi-ve-sinh,55+,Lò vi sóng Panasonic,5000000,20
85,87,purchased,thiet-bi-ve-sinh,36-55,Máy tính xách tay Dell,20000000,30
64,58,addcart,xe-dien,36-55,Smartphone Xiaomi,7000000,47
99,44,addcart,thiet-bi-ve-sinh,36-55,Điều hòa Daikin 12000 BTU,12000000,39
97,80,purchased,xe-dien,36-55,Smartphone Xiaomi,7000000,7
48,65,addcart,tam-op-tuong,55+,Loa bluetooth JBL,3000000,33
34,40,purchased,thiet-bi-ve-sinh,3-17,Máy ảnh Canon EOS,25000000,7
53,10,purchased,xe-dien,36-55,Tivi LG 55 inch,15000000,9
81,69,addcart,tam-op-tuong,55+,Điều hòa Daikin 12000 BTU,12000000,30
90,43,view,thiet-bi-ve-sinh,36-55,Máy ảnh Canon EOS,25000000,41
51,86,purchased,may-loc-nuoc,3-17,Tủ lạnh Samsung 300L,10000000,58
87,57,view,may-loc-nuoc,3-17,Máy giặt Electrolux 9kg,8000000,9
38,20,purchased,tam-op-tuong,18-35,Máy giặt Electrolux 9kg,8000000,59
34,83,purchased,tam-op-tuong,55+,Smartphone Xiaomi,7000000,12
89,66,view,xe-dien,36-55,Điều hòa Daikin 12000 BTU,12000000,34
38,67,purchased,xe-dien,55+,Máy ảnh Canon EOS,25000000,7
22,63,addcart,thiet-bi-ve-sinh,18-35,Smartphone Xiaomi,7000000,40
99,13,view,xe-dien,18-35,Smartphone Xiaomi,7000000,27
9,56,purchased,tam-op-tuong,55+,Smartphone Xiaomi,7000000,15
81,33,addcart,may-loc-nuoc,3-17,Máy lọc không khí Sharp,6000000,1
12,59,view,xe-dien,18-35,Tủ lạnh Samsung 300L,10000000,24
100,62,addcart,may-loc-nuoc,3-17,Smartphone Xiaomi,7000000,51
19,8,view,xe-dien,36-55,Tủ lạnh Samsung 300L,10000000,55
45,59,addcart,thiet-bi-ve-sinh,18-35,Lò vi sóng Panasonic,5000000,13
72,2,purchased,may-loc-nuoc,18-35,Tủ lạnh Samsung 300L,10000000,35
72,80,view,thiet-bi-ve-sinh,18-35,Loa bluetooth JBL,3000000,28
31,58,view,may-loc-nuoc,18-35,Tủ lạnh Samsung 300L,10000000,27
1,80,purchased,thiet-bi-ve-sinh,55+,Máy giặt Electrolux 9kg,8000000,51
94,62,purchased,thiet-bi-ve-sinh,36-55,Loa bluetooth JBL,3000000,44
62,97,view,tam-op-tuong,55+,Tivi LG 55 inch,15000000,25
9,94,view,xe-dien,3-17,Máy lọc không khí Sharp,6000000,33
87,26,view,thiet-bi-ve-sinh,18-35,Máy tính xách tay Dell,20000000,48
43,89,purchased,xe-dien,55+,Loa bluetooth JBL,3000000,47
61,11,view,tam-op-tuong,3-17,Điều hòa Daikin 12000 BTU,12000000,13
66,30,addcart,xe-dien,36-55,Điều hòa Daikin 12000 BTU,12000000,12
55,45,addcart,thiet-bi-ve-sinh,3-17,Loa bluetooth JBL,3000000,24
88,16,purchased,thiet-bi-ve-sinh,3-17,Smartphone Xiaomi,7000000,11
30,69,addcart,thiet-bi-ve-sinh,55+,Lò vi sóng Panasonic,5000000,39
73,85,addcart,thiet-bi-ve-sinh,55+,Máy giặt Electrolux 9kg,8000000,28
56,81,view,thiet-bi-ve-sinh,55+,Máy giặt Electrolux 9kg,8000000,41
23,19,view,tam-op-tuong,3-17,Tủ lạnh Samsung 300L,10000000,23
39,15,view,xe-dien,18-35,Tivi LG 55 inch,15000000,57
52,89,addcart,xe-dien,55+,Máy lọc không khí Sharp,6000000,14
97,26,purchased,thiet-bi-ve-sinh,55+,Máy lọc không khí Sharp,6000000,47
86,35,purchased,thiet-bi-ve-sinh,3-17,Lò vi sóng Panasonic,5000000,41
21,96,view,thiet-bi-ve-sinh,36-55,Máy ảnh Canon EOS,25000000,17
31,85,view,thiet-bi-ve-sinh,36-55,Loa bluetooth JBL,3000000,35
93,51,view,xe-dien,18-35,Tivi LG 55 inch,15000000,2
97,41,view,thiet-bi-ve-sinh,55+,Lò vi sóng Panasonic,5000000,50
53,72,purchased,xe-dien,36-55,Máy tính xách tay Dell,20000000,1
88,13,addcart,may-loc-nuoc,3-17,Máy giặt Electrolux 9kg,8000000,42
89,19,purchased,xe-dien,3-17,Tủ lạnh Samsung 300L,10000000,34
52,74,purchased,xe-dien,18-35,Lò vi sóng Panasonic,5000000,14
9,13,purchased,thiet-bi-ve-sinh,36-55,Điều hòa Daikin 12000 BTU,12000000,4
81,37,purchased,tam-op-tuong,3-17,Tủ lạnh Samsung 300L,10000000,15
69,96,purchased,tam-op-tuong,36-55,Tivi LG 55 inch,15000000,24
93,56,purchased,may-loc-nuoc,55+,Loa bluetooth JBL,3000000,35
80,30,purchased,xe-dien,55+,Lò vi sóng Panasonic,5000000,34
98,57,purchased,may-loc-nuoc,55+,Lò vi sóng Panasonic,5000000,48
53,82,purchased,thiet-bi-ve-sinh,36-55,Tivi LG 55 inch,15000000,48
4,76,view,thiet-bi-ve-sinh,55+,Tủ lạnh Samsung 300L,10000000,30
97,69,purchased,tam-op-tuong,3-17,Máy giặt Electrolux 9kg,8000000,49
100,28,purchased,xe-dien,36-55,Lò vi sóng Panasonic,5000000,49
87,70,view,tam-op-tuong,36-55,Máy giặt Electrolux 9kg,8000000,50
15,72,addcart,tam-op-tuong,18-35,Tủ lạnh Samsung 300L,10000000,3
40,25,addcart,tam-op-tuong,18-35,Máy giặt Electrolux 9kg,8000000,15
76,83,view,may-loc-nuoc,3-17,Smartphone Xiaomi,7000000,16
63,64,purchased,tam-op-tuong,18-35,Máy lọc không khí Sharp,6000000,45
25,43,view,thiet-bi-ve-sinh,3-17,Tủ lạnh Samsung 300L,10000000,29
35,33,purchased,xe-dien,18-35,Điều hòa Daikin 12000 BTU,12000000,32
53,55,view,thiet-bi-ve-sinh,3-17,Máy giặt Electrolux 9kg,8000000,46
27,42,view,xe-dien,3-17,Tủ lạnh Samsung 300L,10000000,29
27,26,addcart,xe-dien,36-55,Smartphone Xiaomi,7000000,39
21,10,addcart,xe-dien,55+,Smartphone Xiaomi,7000000,7
14,5,purchased,tam-op-tuong,55+,Máy lọc không khí Sharp,6000000,29
95,62,purchased,may-loc-nuoc,55+,Tivi LG 55 inch,15000000,50
95,61,addcart,may-loc-nuoc,55+,Máy tính xách tay Dell,20000000,42
55,70,purchased,thiet-bi-ve-sinh,18-35,Máy giặt Electrolux 9kg,8000000,16
18,72,addcart,xe-dien,55+,Loa bluetooth JBL,3000000,43
72,90,addcart,tam-op-tuong,55+,Máy giặt Electrolux 9kg,8000000,43
76,23,purchased,may-loc-nuoc,55+,Tủ lạnh Samsung 300L,10000000,36
9,81,addcart,thiet-bi-ve-sinh,18-35,Loa bluetooth JBL,3000000,19
90,85,addcart,tam-op-tuong,55+,Smartphone Xiaomi,7000000,4
72,15,view,tam-op-tuong,36-55,Máy giặt Electrolux 9kg,8000000,42
81,47,view,xe-dien,18-35,Máy ảnh Canon EOS,25000000,7
44,50,purchased,xe-dien,36-55,Smartphone Xiaomi,7000000,10
100,21,addcart,tam-op-tuong,3-17,Loa bluetooth JBL,3000000,11
94,70,view,thiet-bi-ve-sinh,55+,Smartphone Xiaomi,7000000,56
49,37,purchased,tam-op-tuong,36-55,Tivi LG 55 inch,15000000,56
96,40,view,may-loc-nuoc,3-17,Loa bluetooth JBL,3000000,16
86,88,purchased,may-loc-nuoc,55+,Máy lọc không khí Sharp,6000000,0
15,29,addcart,xe-dien,36-55,Smartphone Xiaomi,7000000,2
76,44,purchased,tam-op-tuong,36-55,Máy lọc không khí Sharp,6000000,1
81,56,addcart,xe-dien,36-55,Lò vi sóng Panasonic,5000000,4
65,44,addcart,may-loc-nuoc,55+,Máy lọc không khí Sharp,6000000,37
24,21,view,may-loc-nuoc,36-55,Điều hòa Daikin 12000 BTU,12000000,50
26,88,view,thiet-bi-ve-sinh,18-35,Máy lọc không khí Sharp,6000000,1
92,46,addcart,thiet-bi-ve-sinh,55+,Máy ảnh Canon EOS,25000000,41
58,18,view,may-loc-nuoc,3-17,Tivi LG 55 inch,15000000,9
58,90,purchased,may-loc-nuoc,18-35,Loa bluetooth JBL,3000000,9
7,79,addcart,may-loc-nuoc,3-17,Smartphone Xiaomi,7000000,20
90,82,purchased,thiet-bi-ve-sinh,3-17,Máy ảnh Canon EOS,25000000,17
95,8,purchased,may-loc-nuoc,55+,Máy giặt Electrolux 9kg,8000000,0
31,19,purchased,may-loc-nuoc,55+,Máy tính xách tay Dell,20000000,20
85,68,view,thiet-bi-ve-sinh,18-35,Loa bluetooth JBL,3000000,57
21,32,view,tam-op-tuong,3-17,Máy ảnh Canon EOS,25000000,31
15,24,view,may-loc-nuoc,55+,Loa bluetooth JBL,3000000,20
69,31,view,tam-op-tuong,18-35,Máy lọc không khí Sharp,6000000,38
88,24,view,xe-dien,36-55,Tủ lạnh Samsung 300L,10000000,12
70,13,addcart,tam-op-tuong,18-35,Máy giặt Electrolux 9kg,8000000,10
67,12,view,tam-op-tuong,36-55,Tivi LG 55 inch,15000000,56
49,55,purchased,thiet-bi-ve-sinh,3-17,Điều hòa Daikin 12000 BTU,12000000,14
62,61,purchased,tam-op-tuong,55+,Loa bluetooth JBL,3000000,49
64,36,addcart,may-loc-nuoc,55+,Smartphone Xiaomi,7000000,55
63,42,purchased,xe-dien,36-55,Tivi LG 55 inch,15000000,10
91,40,purchased,xe-dien,55+,Tivi LG 55 inch,15000000,0
74,90,addcart,tam-op-tuong,36-55,Máy ảnh Canon EOS,25000000,42
79,98,view,xe-dien,18-35,Tivi LG 55 inch,15000000,48
100,89,addcart,tam-op-tuong,55+,Máy giặt Electrolux 9kg,8000000,1
20,10,addcart,xe-dien,18-35,Điều hòa Daikin 12000 BTU,12000000,43
39,79,purchased,xe-dien,36-55,Tivi LG 55 inch,15000000,13
41,90,addcart,xe-dien,36-55,Loa bluetooth JBL,3000000,54
96,43,purchased,thiet-bi-ve-sinh,36-55,Điều hòa Daikin 12000 BTU,12000000,20
57,65,view,thiet-bi-ve-sinh,3-17,Máy tính xách tay Dell,20000000,25
96,50,view,tam-op-tuong,18-35,Tivi LG 55 inch,15000000,54
79,55,purchased,tam-op-tuong,18-35,Lò vi sóng Panasonic,5000000,25
56,10,addcart,thiet-bi-ve-sinh,18-35,Máy giặt Electrolux 9kg,8000000,7
33,94,purchased,tam-op-tuong,3-17,Máy lọc không khí Sharp,6000000,19
31,50,addcart,xe-dien,36-55,Tivi LG 55 inch,15000000,43
71,7,view,xe-dien,18-35,Lò vi sóng Panasonic,5000000,2
32,18,purchased,may-loc-nuoc,3-17,Điều hòa Daikin 12000 BTU,12000000,51
40,7,view,may-loc-nuoc,36-55,Tủ lạnh Samsung 300L,10000000,34
51,23,purchased,tam-op-tuong,18-35,Máy lọc không khí Sharp,6000000,10
36,98,purchased,tam-op-tuong,3-17,Máy lọc không khí Sharp,6000000,36
71,56,purchased,thiet-bi-ve-sinh,55+,Máy giặt Electrolux 9kg,8000000,50
13,71,view,may-loc-nuoc,36-55,Máy giặt Electrolux 9kg,8000000,13
35,4,purchased,thiet-bi-ve-sinh,55+,Lò vi sóng Panasonic,5000000,52
49,71,addcart,thiet-bi-ve-sinh,3-17,Loa bluetooth JBL,3000000,14
62,95,purchased,may-loc-nuoc,3-17,Tivi LG 55 inch,15000000,10
